date;well_id;drilling_depth;drilling_speed;well_temperature;drilling_success;daily_oil_production;daily_gas_production
15/06/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;2771.8 feet;47.44 feet/hour;81.91 °C;1;2029.527 barrels/day;2025.709 cubic feet/day
16/06/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;5904.67 feet;67.95 feet/hour;247.23 °C;0;3815.864 barrels/day;3620.712 cubic feet/day
17/06/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;2321.64 feet;46.18 feet/hour;82.24 °C;1;1746.433 barrels/day;1752.922 cubic feet/day
18/06/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;6266.18 feet;71.35 feet/hour;159.34 °C;1;4155.819 barrels/day;13122.054 cubic feet/day
19/06/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;9380.97 feet;67.76 feet/hour;132.3 °C;1;6027.473 barrels/day;6339.899 cubic feet/day
20/06/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;6305.82 feet;54.16 feet/hour;176.23 °C;1;4156.841 barrels/day;4551.561 cubic feet/day
21/06/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;2807.63 feet;58.08 feet/hour;220.54 °C;1;2046.189 barrels/day;1892.027 cubic feet/day
22/06/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;7099.21 feet;75.84 feet/hour;279.9 °C;0;4517.273 barrels/day;4306.765 cubic feet/day
23/06/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;2113.48 feet;74.96 feet/hour;87.68 °C;0;1512.366 barrels/day;1535.95 cubic feet/day
24/06/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;5697.32 feet;79.3 feet/hour;28.54 °C;0;3701.923 barrels/day;3765.63 cubic feet/day
25/06/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;7100.36 feet;63.12 feet/hour;55.98 °C;1;4644.675 barrels/day;4680.837 cubic feet/day
26/06/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;2265.58 feet;59.07 feet/hour;268.2 °C;0;1605.93 barrels/day;1360.124 cubic feet/day
27/06/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;2248.27 feet;75.53 feet/hour;94.8 °C;1;1735.498 barrels/day;1726.385 cubic feet/day
28/06/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;5143.69 feet;53.14 feet/hour;222.58 °C;1;3458.888 barrels/day;3272.861 cubic feet/day
29/06/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;3638.89 feet;42.83 feet/hour;63.32 °C;1;2535.537 barrels/day;2565.054 cubic feet/day
30/06/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;5688.87 feet;66.91 feet/hour;81.66 °C;0;3645.799 barrels/day;3677.066 cubic feet/day
01/07/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;4105.19 feet;54.25 feet/hour;219.29 °C;1;2821.34 barrels/day;2662.801 cubic feet/day
02/07/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;3545.14 feet;42.12 feet/hour;201.05 °C;1;2475.91 barrels/day;2334.254 cubic feet/day
03/07/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;8108.39 feet;46.82 feet/hour;233.56 °C;1;5231.934 barrels/day;5024.308 cubic feet/day
04/07/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;4310.79 feet;50.86 feet/hour;230.62 °C;1;2954.955 barrels/day;2786.352 cubic feet/day
05/07/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;4233.73 feet;47.4 feet/hour;257.79 °C;1;2892.458 barrels/day;2692.728 cubic feet/day
06/07/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;2433.5 feet;52.59 feet/hour;119.68 °C;1;1829.4 barrels/day;2101.509 cubic feet/day
07/07/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;4259.6 feet;55.42 feet/hour;221.54 °C;1;2909.975 barrels/day;2764.896 cubic feet/day
08/07/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;6439.79 feet;64.71 feet/hour;259.88 °C;2;4235.792 barrels/day;4035.507 cubic feet/day
09/07/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;6638.45 feet;50.7 feet/hour;87.94 °C;0;4215.615 barrels/day;4220.533 cubic feet/day
10/07/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;7384.43 feet;62.95 feet/hour;85.66 °C;1;4804.688 barrels/day;4793.353 cubic feet/day
11/07/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;5057.95 feet;61.89 feet/hour;263.91 °C;1;nan barrels/day;3200.423 cubic feet/day
12/07/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;7499.04 feet;58.0 feet/hour;57.69 °C;1;4856.342 barrels/day;4885.993 cubic feet/day
13/07/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;2666.96 feet;69.87 feet/hour;51.91 °C;1;1995.35 barrels/day;2033.862 cubic feet/day
14/07/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;3577.08 feet;64.68 feet/hour;133.36 °C;1;2533.308 barrels/day;2855.943 cubic feet/day
15/07/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;7849.29 feet;42.86 feet/hour;159.18 °C;0;4903.057 barrels/day;5305.288 cubic feet/day
16/07/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;2574.7 feet;49.04 feet/hour;278.24 °C;1;1899.44 barrels/day;1670.967 cubic feet/day
17/07/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;7545.17 feet;65.85 feet/hour;255.37 °C;1;4913.157 barrels/day;4721.618 cubic feet/day
18/07/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;5397.43 feet;48.6 feet/hour;23.69 °C;0;3458.365 barrels/day;3508.218 cubic feet/day
19/07/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;4790.97 feet;58.86 feet/hour;203.52 °C;1;3258.713 barrels/day;3108.412 cubic feet/day
20/07/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;7384.65 feet;49.15 feet/hour;230.56 °C;0;4676.903 barrels/day;4492.009 cubic feet/day
21/07/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;4850.97 feet;64.75 feet/hour;96.43 °C;0;3171.519 barrels/day;3432.844 cubic feet/day
22/07/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;7239.7 feet;68.26 feet/hour;56.44 °C;0;4594.456 barrels/day;4632.214 cubic feet/day
23/07/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;4048.59 feet;62.38 feet/hour;146.65 °C;1;2795.647 barrels/day;3139.58 cubic feet/day
24/07/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;3435.37 feet;59.1 feet/hour;44.55 °C;1;2446.644 barrels/day;2480.16 cubic feet/day
25/07/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;3372.65 feet;67.66 feet/hour;55.42 °C;0;2275.278 barrels/day;2312.669 cubic feet/day
26/07/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;7074.99 feet;71.07 feet/hour;67.81 °C;0;4522.712 barrels/day;4538.604 cubic feet/day
27/07/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;7292.7 feet;48.75 feet/hour;106.54 °C;2;4712.987 barrels/day;5005.336 cubic feet/day
28/07/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;4056.11 feet;47.1 feet/hour;114.69 °C;1;2766.202 barrels/day;3068.932 cubic feet/day
29/07/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;9408.02 feet;71.67 feet/hour;111.05 °C;0;5915.03 barrels/day;6205.695 cubic feet/day
30/07/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;5314.7 feet;64.96 feet/hour;259.37 °C;1;3542.828 barrels/day;3366.906 cubic feet/day
31/07/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;5463.94 feet;71.8 feet/hour;68.39 °C;1;3683.952 barrels/day;3655.002 cubic feet/day
01/08/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;4173.43 feet;41.31 feet/hour;156.76 °C;1;2822.329 barrels/day;3187.509 cubic feet/day
02/08/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;7666.66 feet;69.14 feet/hour;79.69 °C;0;4838.973 barrels/day;4849.264 cubic feet/day
03/08/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;5424.26 feet;76.65 feet/hour;39.13 °C;1;3655.696 barrels/day;3687.556 cubic feet/day
04/08/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;2795.58 feet;43.99 feet/hour;115.52 °C;1;2013.805 barrels/day;2298.8 cubic feet/day
05/08/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;8032.31 feet;67.5 feet/hour;255.7 °C;1;5203.45 barrels/day;5009.18 cubic feet/day
06/08/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;3117.9 feet;59.64 feet/hour;110.41 °C;1;2248.708 barrels/day;2496.722 cubic feet/day
07/08/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;5664.13 feet;74.9 feet/hour;249.17 °C;1;3797.642 barrels/day;3603.294 cubic feet/day
08/08/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;4367.76 feet;43.12 feet/hour;249.46 °C;1;2952.515 barrels/day;2777.461 cubic feet/day
09/08/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;2479.55 feet;75.71 feet/hour;171.58 °C;1;1887.491 barrels/day;2259.915 cubic feet/day
10/08/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;9245.08 feet;58.82 feet/hour;31.82 °C;0;5779.736 barrels/day;5864.171 cubic feet/day
11/08/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;6348.28 feet;44.79 feet/hour;241.88 °C;0;4037.887 barrels/day;3831.637 cubic feet/day
12/08/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;9174.64 feet;77.89 feet/hour;136.88 °C;1;5914.144 barrels/day;6240.45 cubic feet/day
13/08/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;4894.9 feet;66.81 feet/hour;260.19 °C;1;3316.982 barrels/day;3115.727 cubic feet/day
14/08/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;7490.93 feet;58.04 feet/hour;47.25 °C;1;4839.31 barrels/day;4910.558 cubic feet/day
15/08/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;2234.53 feet;73.3 feet/hour;243.97 °C;2;1618.87 barrels/day;1419.915 cubic feet/day
16/08/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;3666.95 feet;72.77 feet/hour;236.3 °C;1;2592.735 barrels/day;2397.456 cubic feet/day
17/08/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;5830.48 feet;50.1 feet/hour;257.63 °C;1;3845.566 barrels/day;3667.287 cubic feet/day
18/08/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;5123.81 feet;67.74 feet/hour;50.63 °C;0;3348.704 barrels/day;3371.405 cubic feet/day
19/08/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;8308.73 feet;71.23 feet/hour;128.38 °C;1;5370.532 barrels/day;12759.536 cubic feet/day
20/08/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;4535.82 feet;68.73 feet/hour;270.9 °C;1;3118.789 barrels/day;2886.629 cubic feet/day
21/08/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;8864.69 feet;75.32 feet/hour;214.05 °C;0;5595.578 barrels/day;5443.759 cubic feet/day
22/08/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;7148.97 feet;74.52 feet/hour;248.44 °C;1;4683.74 barrels/day;4473.583 cubic feet/day
23/08/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;6406.55 feet;77.15 feet/hour;35.83 °C;0;4099.091 barrels/day;4149.573 cubic feet/day
24/08/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;6669.38 feet;50.64 feet/hour;214.57 °C;1;4367.214 barrels/day;4203.641 cubic feet/day
25/08/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;9422.68 feet;72.4 feet/hour;146.27 °C;0;5921.327 barrels/day;6255.529 cubic feet/day
26/08/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;8583.23 feet;45.51 feet/hour;50.54 °C;0;5362.152 barrels/day;5406.742 cubic feet/day
27/08/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;9279.24 feet;52.83 feet/hour;182.72 °C;1;5915.346 barrels/day;6354.24 cubic feet/day
28/08/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;5261.97 feet;63.4 feet/hour;246.96 °C;0;3423.807 barrels/day;3212.658 cubic feet/day
29/08/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;5641.06 feet;40.49 feet/hour;83.45 °C;1;3706.598 barrels/day;3726.927 cubic feet/day
30/08/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;4742.48 feet;75.82 feet/hour;229.71 °C;0;3093.546 barrels/day;2949.979 cubic feet/day
31/08/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;8028.35 feet;73.78 feet/hour;233.03 °C;1;5207.231 barrels/day;5041.406 cubic feet/day
01/09/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;2478.91 feet;61.96 feet/hour;54.07 °C;1;1844.557 barrels/day;1900.799 cubic feet/day
02/09/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;5061.94 feet;77.92 feet/hour;63.01 °C;0;3315.77 barrels/day;3346.831 cubic feet/day
03/09/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;3343.97 feet;78.06 feet/hour;40.14 °C;0;2278.91 barrels/day;2303.95 cubic feet/day
04/09/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;7212.03 feet;40.37 feet/hour;239.82 °C;1;4684.849 barrels/day;4483.425 cubic feet/day
05/09/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;9453.79 feet;54.05 feet/hour;68.96 °C;1;6035.772 barrels/day;6025.332 cubic feet/day
06/09/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;2988.8 feet;46.0 feet/hour;62.64 °C;1;2150.865 barrels/day;2152.385 cubic feet/day
07/09/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;4970.27 feet;67.84 feet/hour;235.32 °C;0;3227.124 barrels/day;3079.08 cubic feet/day
08/09/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;5003.25 feet;68.53 feet/hour;126.9 °C;0;3265.921 barrels/day;3592.463 cubic feet/day
09/09/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;4576.47 feet;56.63 feet/hour;99.99 °C;1;3106.806 barrels/day;3357.397 cubic feet/day
10/09/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;5163.86 feet;49.64 feet/hour;198.83 °C;1;3436.757 barrels/day;3310.415 cubic feet/day
11/09/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;5508.15 feet;61.19 feet/hour;60.55 °C;1;3658.22 barrels/day;3716.023 cubic feet/day
12/09/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;8222.43 feet;49.44 feet/hour;155.76 °C;0;5174.327 barrels/day;5541.671 cubic feet/day
13/09/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;2455.41 feet;60.54 feet/hour;278.63 °C;2;1861.039 barrels/day;1594.593 cubic feet/day
14/09/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;4166.64 feet;64.36 feet/hour;167.83 °C;1;2861.158 barrels/day;3250.748 cubic feet/day
15/09/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;2914.51 feet;56.4 feet/hour;62.07 °C;1;2118.891 barrels/day;2142.111 cubic feet/day
16/09/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;6411.19 feet;66.95 feet/hour;151.39 °C;1;4243.245 barrels/day;4600.843 cubic feet/day
17/09/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;8332.99 feet;49.83 feet/hour;92.24 °C;0;5234.528 barrels/day;5231.818 cubic feet/day
18/09/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;8987.64 feet;41.27 feet/hour;43.83 °C;1;5736.76 barrels/day;5755.804 cubic feet/day
19/09/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;9025.87 feet;52.04 feet/hour;43.72 °C;1;5756.196 barrels/day;5827.688 cubic feet/day
20/09/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;5038.52 feet;56.01 feet/hour;136.87 °C;2;3236.044 barrels/day;3573.323 cubic feet/day
21/09/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;2337.54 feet;69.23 feet/hour;62.5 °C;0;1645.947 barrels/day;1654.077 cubic feet/day
22/09/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;6680.18 feet;67.29 feet/hour;58.41 °C;1;4392.079 barrels/day;4429.275 cubic feet/day
23/09/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;7074.77 feet;61.56 feet/hour;208.1 °C;1;4596.261 barrels/day;4468.618 cubic feet/day
24/09/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;7351.25 feet;72.71 feet/hour;126.43 °C;0;4672.661 barrels/day;4999.957 cubic feet/day
25/09/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;4148.95 feet;43.04 feet/hour;26.78 °C;0;2718.115 barrels/day;2753.92 cubic feet/day
26/09/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;6636.46 feet;49.99 feet/hour;242.11 °C;2;4334.522 barrels/day;4166.448 cubic feet/day
27/09/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;7026.63 feet;62.71 feet/hour;249.5 °C;0;4464.784 barrels/day;4280.98 cubic feet/day
28/09/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;6052.55 feet;55.55 feet/hour;21.11 °C;0;3885.827 barrels/day;3954.05 cubic feet/day
29/09/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;6098.6 feet;71.71 feet/hour;196.08 °C;1;4032.222 barrels/day;3928.264 cubic feet/day
30/09/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;9334.83 feet;69.91 feet/hour;22.54 °C;1;6001.344 barrels/day;6066.505 cubic feet/day
01/10/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;8664.07 feet;60.63 feet/hour;226.38 °C;1;5585.334 barrels/day;5416.475 cubic feet/day
02/10/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;5144.88 feet;62.21 feet/hour;168.56 °C;1;3440.593 barrels/day;3856.112 cubic feet/day
03/10/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;7236.87 feet;46.69 feet/hour;36.39 °C;0;4564.766 barrels/day;4609.839 cubic feet/day
04/10/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;4147.24 feet;46.73 feet/hour;265.9 °C;1;2832.76 barrels/day;2628.27 cubic feet/day
05/10/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;6279.66 feet;75.79 feet/hour;180.21 °C;1;4165.282 barrels/day;4570.492 cubic feet/day
06/10/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;5202.81 feet;73.0 feet/hour;189.33 °C;0;3381.381 barrels/day;3817.353 cubic feet/day
07/10/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;5946.9 feet;71.85 feet/hour;231.85 °C;1;3960.483 barrels/day;3791.397 cubic feet/day
08/10/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;7229.69 feet;41.05 feet/hour;47.52 °C;0;4547.631 barrels/day;4594.415 cubic feet/day
09/10/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;9408.52 feet;67.11 feet/hour;72.3 °C;0;5906.14 barrels/day;5899.417 cubic feet/day
10/10/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;8200.13 feet;48.36 feet/hour;189.41 °C;0;5152.366 barrels/day;5556.932 cubic feet/day
11/10/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;8759.57 feet;42.3 feet/hour;274.12 °C;1;5601.37 barrels/day;5346.866 cubic feet/day
12/10/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;2285.77 feet;74.85 feet/hour;133.9 °C;0;1652.8 barrels/day;1981.675 cubic feet/day
13/10/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;2021.51 feet;55.92 feet/hour;26.58 °C;1;1589.37 barrels/day;1654.447 cubic feet/day
14/10/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;5863.18 feet;61.47 feet/hour;128.42 °C;0;3781.761 barrels/day;4060.418 cubic feet/day
15/10/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;4989.34 feet;77.24 feet/hour;55.6 °C;0;3257.455 barrels/day;3301.733 cubic feet/day
16/10/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;6651.56 feet;57.42 feet/hour;71.1 °C;1;nan barrels/day;4366.323 cubic feet/day
17/10/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;3064.21 feet;63.2 feet/hour;71.03 °C;1;2221.838 barrels/day;2239.174 cubic feet/day
18/10/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;8649.79 feet;77.41 feet/hour;218.31 °C;1;5571.217 barrels/day;5440.659 cubic feet/day
19/10/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;8957.23 feet;44.01 feet/hour;164.27 °C;0;5610.647 barrels/day;5966.85 cubic feet/day
20/10/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;3685.16 feet;62.13 feet/hour;132.01 °C;1;2587.143 barrels/day;2902.494 cubic feet/day
21/10/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;3678.33 feet;64.99 feet/hour;231.93 °C;2;2467.554 barrels/day;2296.423 cubic feet/day
22/10/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;2637.07 feet;61.16 feet/hour;91.49 °C;1;1942.353 barrels/day;1933.658 cubic feet/day
23/10/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;2409.39 feet;51.65 feet/hour;270.67 °C;0;1691.114 barrels/day;1464.969 cubic feet/day
24/10/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;3274.71 feet;50.18 feet/hour;103.6 °C;0;2192.484 barrels/day;2484.325 cubic feet/day
25/10/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;6084.49 feet;67.01 feet/hour;39.33 °C;1;4031.843 barrels/day;4068.759 cubic feet/day
26/10/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;8766.74 feet;77.48 feet/hour;61.73 °C;0;5538.211 barrels/day;5548.271 cubic feet/day
27/10/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;7320.39 feet;41.48 feet/hour;77.66 °C;2;4608.479 barrels/day;4615.086 cubic feet/day
28/10/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;6838.31 feet;43.27 feet/hour;227.54 °C;1;4442.386 barrels/day;4290.026 cubic feet/day
29/10/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;5497.7 feet;63.27 feet/hour;228.78 °C;1;3682.721 barrels/day;3518.16 cubic feet/day
30/10/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;8617.5 feet;75.05 feet/hour;155.75 °C;1;5558.249 barrels/day;5920.933 cubic feet/day
31/10/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;7880.27 feet;44.05 feet/hour;128.54 °C;1;5075.433 barrels/day;5399.615 cubic feet/day
01/11/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;8853.53 feet;73.42 feet/hour;82.53 °C;1;5697.342 barrels/day;5700.811 cubic feet/day
02/11/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;9393.32 feet;61.57 feet/hour;249.45 °C;1;6021.055 barrels/day;5815.764 cubic feet/day
03/11/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;8388.21 feet;73.55 feet/hour;242.68 °C;1;5440.857 barrels/day;5253.507 cubic feet/day
04/11/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;9429.21 feet;73.5 feet/hour;95.26 °C;0;5940.841 barrels/day;6173.085 cubic feet/day
05/11/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;8406.69 feet;52.7 feet/hour;157.07 °C;0;5278.377 barrels/day;5657.816 cubic feet/day
06/11/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;7987.72 feet;79.34 feet/hour;205.37 °C;1;5185.041 barrels/day;5062.0 cubic feet/day
07/11/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;4633.45 feet;71.14 feet/hour;269.5 °C;1;3160.802 barrels/day;2926.698 cubic feet/day
08/11/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;3665.45 feet;73.37 feet/hour;221.83 °C;1;2563.386 barrels/day;2420.197 cubic feet/day
09/11/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;6227.45 feet;47.92 feet/hour;185.59 °C;0;3938.485 barrels/day;4395.29 cubic feet/day
10/11/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;4752.14 feet;72.9 feet/hour;173.92 °C;1;3257.667 barrels/day;3616.405 cubic feet/day
11/11/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;6609.68 feet;70.69 feet/hour;248.3 °C;1;nan barrels/day;4163.03 cubic feet/day
12/11/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;7599.0 feet;76.95 feet/hour;103.92 °C;1;4972.045 barrels/day;5227.895 cubic feet/day
13/11/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;2665.96 feet;68.53 feet/hour;73.86 °C;0;1875.01 barrels/day;1876.457 cubic feet/day
14/11/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;6728.1 feet;57.93 feet/hour;38.61 °C;0;4291.834 barrels/day;4300.473 cubic feet/day
15/11/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;8976.41 feet;40.71 feet/hour;152.79 °C;1;5732.357 barrels/day;6085.258 cubic feet/day
16/11/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;4918.95 feet;73.65 feet/hour;58.76 °C;1;3340.907 barrels/day;3377.191 cubic feet/day
17/11/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;2752.01 feet;65.36 feet/hour;121.25 °C;1;2023.734 barrels/day;2332.986 cubic feet/day
18/11/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;2572.29 feet;50.04 feet/hour;238.64 °C;1;1890.537 barrels/day;1711.883 cubic feet/day
19/11/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;2353.13 feet;65.02 feet/hour;219.17 °C;0;1678.574 barrels/day;1489.003 cubic feet/day
20/11/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;8179.23 feet;68.07 feet/hour;35.14 °C;0;5168.227 barrels/day;5199.696 cubic feet/day
21/11/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;4205.75 feet;68.25 feet/hour;106.65 °C;0;2764.652 barrels/day;3058.013 cubic feet/day
22/11/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;5248.07 feet;53.24 feet/hour;23.25 °C;1;3505.248 barrels/day;3592.971 cubic feet/day
23/11/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;8792.55 feet;41.43 feet/hour;262.64 °C;1;5631.843 barrels/day;5425.227 cubic feet/day
24/11/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;4641.62 feet;68.61 feet/hour;38.56 °C;1;3148.853 barrels/day;3228.64 cubic feet/day
25/11/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;6353.98 feet;61.02 feet/hour;149.93 °C;0;4058.331 barrels/day;4399.8 cubic feet/day
26/11/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;3115.04 feet;40.16 feet/hour;83.79 °C;1;2211.394 barrels/day;2223.009 cubic feet/day
27/11/2022;cda1607e-ad63-4932-a207-01ba25d6f20c;2577.46 feet;55.84 feet/hour;263.56 °C;0;1768.568 barrels/day;1571.091 cubic feet/day
